model,fold,positive_buffer_m,negative_buffer_m,train_positive_count,valid_positive_count,train_sample_count,valid_sample_count,train_label_histogram,valid_label_histogram,train_confusion,valid_confusion,valid_accuracy,valid_kappa,hotspot_point_recall
Hybrid-basic,0,60,300,226,31,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[191, 9], [4, 196]]","[[162, 38], [35, 165]]",0.8175,0.635,"{""top_20_percent"": 0.7096774193548387, ""top_10_percent"": 0.25806451612903225, ""top_5_percent"": 0.16129032258064516}"
Hybrid-basic,1,60,300,191,66,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[193, 7], [7, 193]]","[[149, 51], [56, 144]]",0.7325,0.4650000000000001,"{""top_20_percent"": 0.6515151515151515, ""top_10_percent"": 0.4090909090909091, ""top_5_percent"": 0.21212121212121213}"
Hybrid-basic,2,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[192, 8], [11, 189]]","[[150, 50], [25, 175]]",0.8125,0.625,"{""top_20_percent"": 0.68, ""top_10_percent"": 0.42, ""top_5_percent"": 0.22}"
Hybrid-basic,3,60,300,197,60,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[192, 8], [7, 193]]","[[161, 39], [56, 144]]",0.7625,0.5249999999999999,"{""top_20_percent"": 0.6333333333333333, ""top_10_percent"": 0.31666666666666665, ""top_5_percent"": 0.21666666666666667}"
Hybrid-basic,4,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[192, 8], [5, 195]]","[[146, 54], [41, 159]]",0.7625,0.5249999999999999,"{""top_20_percent"": 0.7, ""top_10_percent"": 0.48, ""top_5_percent"": 0.34}"
Hybrid-no-alpha,0,60,300,226,31,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[193, 7], [5, 195]]","[[142, 58], [14, 186]]",0.82,0.6399999999999999,"{""top_20_percent"": 0.6451612903225806, ""top_10_percent"": 0.3870967741935484, ""top_5_percent"": 0.1935483870967742}"
Hybrid-no-alpha,1,60,300,191,66,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[192, 8], [8, 192]]","[[147, 53], [72, 128]]",0.6875,0.375,"{""top_20_percent"": 0.5303030303030303, ""top_10_percent"": 0.3333333333333333, ""top_5_percent"": 0.19696969696969696}"
Hybrid-no-alpha,2,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[192, 8], [6, 194]]","[[140, 60], [34, 166]]",0.765,0.53,"{""top_20_percent"": 0.4, ""top_10_percent"": 0.22, ""top_5_percent"": 0.14}"
Hybrid-no-alpha,3,60,300,197,60,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[194, 6], [5, 195]]","[[141, 59], [67, 133]]",0.685,0.3700000000000001,"{""top_20_percent"": 0.5166666666666667, ""top_10_percent"": 0.45, ""top_5_percent"": 0.18333333333333332}"
Hybrid-no-alpha,4,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[191, 9], [8, 192]]","[[160, 40], [63, 137]]",0.7425,0.4850000000000001,"{""top_20_percent"": 0.62, ""top_10_percent"": 0.48, ""top_5_percent"": 0.26}"
