model,fold,positive_buffer_m,negative_buffer_m,train_positive_count,valid_positive_count,train_sample_count,valid_sample_count,train_label_histogram,valid_label_histogram,train_confusion,valid_confusion,valid_accuracy,valid_kappa
Hybrid-basic,0,60,300,226,31,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[191, 9], [4, 196]]","[[162, 38], [35, 165]]",0.8175,0.635
Hybrid-basic,1,60,300,191,66,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[193, 7], [7, 193]]","[[149, 51], [56, 144]]",0.7325,0.4650000000000001
Hybrid-basic,2,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[192, 8], [11, 189]]","[[150, 50], [25, 175]]",0.8125,0.625
Hybrid-basic,3,60,300,197,60,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[192, 8], [7, 193]]","[[161, 39], [56, 144]]",0.7625,0.5249999999999999
Hybrid-basic,4,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[192, 8], [5, 195]]","[[146, 54], [41, 159]]",0.7625,0.5249999999999999
Hybrid-no-water-occ,0,60,300,226,31,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[192, 8], [4, 196]]","[[163, 37], [34, 166]]",0.8225,0.645
Hybrid-no-water-occ,1,60,300,191,66,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[193, 7], [7, 193]]","[[146, 54], [55, 145]]",0.7275,0.45500000000000007
Hybrid-no-water-occ,2,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[192, 8], [8, 192]]","[[145, 55], [30, 170]]",0.7875,0.575
Hybrid-no-water-occ,3,60,300,197,60,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[193, 7], [6, 194]]","[[159, 41], [60, 140]]",0.7475,0.4950000000000001
Hybrid-no-water-occ,4,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[192, 8], [4, 196]]","[[146, 54], [42, 158]]",0.76,0.52
Hybrid-plus-water-distance,0,60,300,226,31,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[192, 8], [5, 195]]","[[153, 47], [35, 165]]",0.795,0.5900000000000001
Hybrid-plus-water-distance,1,60,300,191,66,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[196, 4], [9, 191]]","[[146, 54], [67, 133]]",0.6975,0.395
Hybrid-plus-water-distance,2,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[196, 4], [7, 193]]","[[149, 51], [25, 175]]",0.81,0.6200000000000001
Hybrid-plus-water-distance,3,60,300,197,60,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[194, 6], [7, 193]]","[[157, 43], [61, 139]]",0.74,0.48
Hybrid-plus-water-distance,4,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[196, 4], [6, 194]]","[[147, 53], [43, 157]]",0.76,0.52
