model,fold,positive_buffer_m,negative_buffer_m,train_positive_count,valid_positive_count,train_sample_count,valid_sample_count,train_label_histogram,valid_label_histogram,train_confusion,valid_confusion,valid_accuracy,valid_kappa,valid_metrics,hotspot_point_recall
Hybrid-basic,0,60,300,226,31,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[200, 0], [0, 200]]","[[156, 44], [32, 168]]",0.81,0.6200000000000001,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 168, ""true_negative"": 156, ""false_positive"": 44, ""false_negative"": 32, ""accuracy"": 0.81, ""precision"": 0.7924528301886793, ""recall"": 0.84, ""sensitivity"": 0.84, ""specificity"": 0.78, ""f1"": 0.8155339805825242, ""balanced_accuracy"": 0.81, ""negative_predictive_value"": 0.8297872340425532, ""false_positive_rate"": 0.21999999999999997, ""false_negative_rate"": 0.16000000000000003, ""roc_auc"": 0.895325, ""pr_auc"": 0.8702739702767763, ""average_precision"": 0.8702739702767763}","{""top_20_percent"": 0.8064516129032258, ""top_10_percent"": 0.25806451612903225, ""top_5_percent"": 0.1935483870967742}"
Hybrid-basic,1,60,300,191,66,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[200, 0], [0, 200]]","[[149, 51], [65, 135]]",0.71,0.41999999999999993,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 135, ""true_negative"": 149, ""false_positive"": 51, ""false_negative"": 65, ""accuracy"": 0.71, ""precision"": 0.7258064516129032, ""recall"": 0.675, ""sensitivity"": 0.675, ""specificity"": 0.745, ""f1"": 0.6994818652849741, ""balanced_accuracy"": 0.71, ""negative_predictive_value"": 0.6962616822429907, ""false_positive_rate"": 0.255, ""false_negative_rate"": 0.32499999999999996, ""roc_auc"": 0.777625, ""pr_auc"": 0.7460048765645675, ""average_precision"": 0.7460048765645675}","{""top_20_percent"": 0.7121212121212122, ""top_10_percent"": 0.4090909090909091, ""top_5_percent"": 0.22727272727272727}"
Hybrid-basic,2,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[200, 0], [0, 200]]","[[145, 55], [34, 166]]",0.7775,0.5549999999999999,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 166, ""true_negative"": 145, ""false_positive"": 55, ""false_negative"": 34, ""accuracy"": 0.7775, ""precision"": 0.751131221719457, ""recall"": 0.83, ""sensitivity"": 0.83, ""specificity"": 0.725, ""f1"": 0.7885985748218526, ""balanced_accuracy"": 0.7775, ""negative_predictive_value"": 0.8100558659217877, ""false_positive_rate"": 0.275, ""false_negative_rate"": 0.17000000000000004, ""roc_auc"": 0.82895, ""pr_auc"": 0.7735988893253709, ""average_precision"": 0.7735988893253709}","{""top_20_percent"": 0.62, ""top_10_percent"": 0.34, ""top_5_percent"": 0.16}"
Hybrid-basic,3,60,300,197,60,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[200, 0], [1, 199]]","[[154, 46], [67, 133]]",0.7175,0.43500000000000005,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 133, ""true_negative"": 154, ""false_positive"": 46, ""false_negative"": 67, ""accuracy"": 0.7175, ""precision"": 0.7430167597765364, ""recall"": 0.665, ""sensitivity"": 0.665, ""specificity"": 0.77, ""f1"": 0.7018469656992086, ""balanced_accuracy"": 0.7175, ""negative_predictive_value"": 0.6968325791855203, ""false_positive_rate"": 0.22999999999999998, ""false_negative_rate"": 0.33499999999999996, ""roc_auc"": 0.795725, ""pr_auc"": 0.766382067705706, ""average_precision"": 0.766382067705706}","{""top_20_percent"": 0.5333333333333333, ""top_10_percent"": 0.26666666666666666, ""top_5_percent"": 0.2}"
Hybrid-basic,4,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[200, 0], [0, 200]]","[[141, 59], [38, 162]]",0.7575,0.5149999999999999,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 162, ""true_negative"": 141, ""false_positive"": 59, ""false_negative"": 38, ""accuracy"": 0.7575, ""precision"": 0.7330316742081447, ""recall"": 0.81, ""sensitivity"": 0.81, ""specificity"": 0.705, ""f1"": 0.7695961995249405, ""balanced_accuracy"": 0.7575000000000001, ""negative_predictive_value"": 0.7877094972067039, ""false_positive_rate"": 0.29500000000000004, ""false_negative_rate"": 0.18999999999999995, ""roc_auc"": 0.840225, ""pr_auc"": 0.793405533330088, ""average_precision"": 0.793405533330088}","{""top_20_percent"": 0.7, ""top_10_percent"": 0.56, ""top_5_percent"": 0.36}"
Hybrid-plus-drainage-gu-stats,0,60,300,226,31,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[200, 0], [0, 200]]","[[162, 38], [22, 178]]",0.85,0.7,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 178, ""true_negative"": 162, ""false_positive"": 38, ""false_negative"": 22, ""accuracy"": 0.85, ""precision"": 0.8240740740740741, ""recall"": 0.89, ""sensitivity"": 0.89, ""specificity"": 0.81, ""f1"": 0.8557692307692307, ""balanced_accuracy"": 0.8500000000000001, ""negative_predictive_value"": 0.8804347826086957, ""false_positive_rate"": 0.18999999999999995, ""false_negative_rate"": 0.10999999999999999, ""roc_auc"": 0.9232, ""pr_auc"": 0.9156907433240271, ""average_precision"": 0.9156907433240271}","{""top_20_percent"": 0.8709677419354839, ""top_10_percent"": 0.5806451612903226, ""top_5_percent"": 0.2903225806451613}"
Hybrid-plus-drainage-gu-stats,1,60,300,191,66,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[200, 0], [0, 200]]","[[163, 37], [56, 144]]",0.7675,0.5349999999999999,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 146, ""true_negative"": 165, ""false_positive"": 35, ""false_negative"": 54, ""accuracy"": 0.7775, ""precision"": 0.8066298342541437, ""recall"": 0.73, ""sensitivity"": 0.73, ""specificity"": 0.825, ""f1"": 0.7664041994750657, ""balanced_accuracy"": 0.7775, ""negative_predictive_value"": 0.7534246575342466, ""false_positive_rate"": 0.17500000000000004, ""false_negative_rate"": 0.27, ""roc_auc"": 0.86175, ""pr_auc"": 0.8711444697815404, ""average_precision"": 0.8711444697815404}","{""top_20_percent"": 0.7575757575757576, ""top_10_percent"": 0.5, ""top_5_percent"": 0.36363636363636365}"
Hybrid-plus-drainage-gu-stats,2,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[200, 0], [0, 200]]","[[180, 20], [32, 168]]",0.87,0.74,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 168, ""true_negative"": 180, ""false_positive"": 20, ""false_negative"": 32, ""accuracy"": 0.87, ""precision"": 0.8936170212765957, ""recall"": 0.84, ""sensitivity"": 0.84, ""specificity"": 0.9, ""f1"": 0.8659793814432989, ""balanced_accuracy"": 0.87, ""negative_predictive_value"": 0.8490566037735849, ""false_positive_rate"": 0.09999999999999998, ""false_negative_rate"": 0.16000000000000003, ""roc_auc"": 0.93805, ""pr_auc"": 0.9219694549414953, ""average_precision"": 0.9219694549414953}","{""top_20_percent"": 0.8, ""top_10_percent"": 0.68, ""top_5_percent"": 0.34}"
Hybrid-plus-drainage-gu-stats,3,60,300,197,60,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[200, 0], [1, 199]]","[[160, 40], [38, 162]]",0.805,0.6100000000000001,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 162, ""true_negative"": 160, ""false_positive"": 40, ""false_negative"": 38, ""accuracy"": 0.805, ""precision"": 0.801980198019802, ""recall"": 0.81, ""sensitivity"": 0.81, ""specificity"": 0.8, ""f1"": 0.8059701492537314, ""balanced_accuracy"": 0.805, ""negative_predictive_value"": 0.8080808080808081, ""false_positive_rate"": 0.19999999999999996, ""false_negative_rate"": 0.18999999999999995, ""roc_auc"": 0.872625, ""pr_auc"": 0.8445011508652412, ""average_precision"": 0.8445011508652412}","{""top_20_percent"": 0.8166666666666667, ""top_10_percent"": 0.6166666666666667, ""top_5_percent"": 0.43333333333333335}"
Hybrid-plus-drainage-gu-stats,4,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[200, 0], [0, 200]]","[[180, 20], [19, 181]]",0.9025,0.8049999999999999,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 181, ""true_negative"": 180, ""false_positive"": 20, ""false_negative"": 19, ""accuracy"": 0.9025, ""precision"": 0.900497512437811, ""recall"": 0.905, ""sensitivity"": 0.905, ""specificity"": 0.9, ""f1"": 0.9027431421446384, ""balanced_accuracy"": 0.9025000000000001, ""negative_predictive_value"": 0.9045226130653267, ""false_positive_rate"": 0.09999999999999998, ""false_negative_rate"": 0.09499999999999997, ""roc_auc"": 0.963075, ""pr_auc"": 0.956709377691101, ""average_precision"": 0.956709377691101}","{""top_20_percent"": 0.92, ""top_10_percent"": 0.76, ""top_5_percent"": 0.64}"
