feature,importance_mean,importance_std
alpha_score,0.13697376556571858,0.012709299634276085
log_upa,0.12237252718018202,0.013657307065312499
hnd,0.12181292716156344,0.017022237501948482
lowland,0.1110342209977209,0.004756958187531734
built,0.10598156698883912,0.017653038562406007
slope,0.10434988512484174,0.0037876540340673163
sewer_sensor_count_norm,0.10078051053000822,0.009213356576978323
pump_capacity_sum_norm,0.064976273793634,0.007379245664086899
pump_reservoir_capacity_sum_norm,0.04955714806527374,0.005392300902289723
pump_catchment_area_sum_norm,0.04876034934131273,0.004271478376748936
pump_station_count_norm,0.03340082525090547,0.0043161144967805735
water_occ,0.0,0.0
