feature,importance_mean,importance_std
alpha_score,0.17723411343475437,0.007748125556416181
slope,0.1341886999915955,0.019115676521360064
hnd,0.13418360516449396,0.02984691171088255
log_upa,0.12636457014326066,0.020018316269641324
sewer_sensor_count_norm,0.11124990739983183,0.01996087030838052
built,0.10249725669909851,0.013115040533819866
lowland,0.09962758651295023,0.034218355935247066
pump_capacity_sum_norm,0.07056775567269294,0.01010455903625403
pump_reservoir_capacity_sum_norm,0.01934199712104067,0.009993702082771795
pump_catchment_area_sum_norm,0.017898712908798523,0.005528921849776049
pump_station_count_norm,0.006845794951482796,0.002156248343078588
water_occ,0.0,0.0
