feature,importance_mean,importance_std
alpha_score,0.1772056678261525,0.007756395336017758
slope,0.13426625537816494,0.0190483521069086
hnd,0.13398049526287642,0.029834253856056318
log_upa,0.1265606058493295,0.01970166444724165
sewer_sensor_count_norm,0.11122005001134261,0.019913815598502613
built,0.1025289633345762,0.01315516374317837
lowland,0.099556794310149,0.03421506945959407
pump_capacity_sum_norm,0.0703955431510124,0.009924344137367948
pump_reservoir_capacity_sum_norm,0.019320795606756556,0.01001577220212258
pump_catchment_area_sum_norm,0.018111876760760322,0.005570100272097631
pump_station_count_norm,0.00685295250887958,0.002150497250249767
water_occ,0.0,0.0
