model,fold,positive_buffer_m,negative_buffer_m,train_positive_count,valid_positive_count,train_sample_count,valid_sample_count,train_label_histogram,valid_label_histogram,train_confusion,valid_confusion,valid_accuracy,valid_kappa,hotspot_point_recall
Hybrid-basic,0,60,300,226,31,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[191, 9], [4, 196]]","[[162, 38], [35, 165]]",0.8175,0.635,"{""top_20_percent"": 0.7096774193548387, ""top_10_percent"": 0.25806451612903225, ""top_5_percent"": 0.16129032258064516}"
Hybrid-basic,1,60,300,191,66,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[193, 7], [7, 193]]","[[149, 51], [56, 144]]",0.7325,0.4650000000000001,"{""top_20_percent"": 0.6515151515151515, ""top_10_percent"": 0.4090909090909091, ""top_5_percent"": 0.21212121212121213}"
Hybrid-basic,2,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[192, 8], [11, 189]]","[[150, 50], [25, 175]]",0.8125,0.625,"{""top_20_percent"": 0.68, ""top_10_percent"": 0.42, ""top_5_percent"": 0.22}"
Hybrid-basic,3,60,300,197,60,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[192, 8], [7, 193]]","[[161, 39], [56, 144]]",0.7625,0.5249999999999999,"{""top_20_percent"": 0.6333333333333333, ""top_10_percent"": 0.31666666666666665, ""top_5_percent"": 0.21666666666666667}"
Hybrid-basic,4,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[192, 8], [5, 195]]","[[146, 54], [41, 159]]",0.7625,0.5249999999999999,"{""top_20_percent"": 0.7, ""top_10_percent"": 0.48, ""top_5_percent"": 0.34}"
Hybrid-plus-drainage-gu-stats,0,60,300,226,31,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[190, 10], [4, 196]]","[[157, 43], [16, 184]]",0.8525,0.7050000000000001,
Hybrid-plus-drainage-gu-stats,1,60,300,191,66,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[194, 6], [7, 193]]","[[169, 31], [49, 151]]",0.8,0.6000000000000001,
Hybrid-plus-drainage-gu-stats,2,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[191, 9], [7, 193]]","[[179, 21], [40, 160]]",0.8475,0.6950000000000001,
Hybrid-plus-drainage-gu-stats,3,60,300,197,60,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[195, 5], [4, 196]]","[[165, 35], [48, 152]]",0.7925,0.585,
Hybrid-plus-drainage-gu-stats,4,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[196, 4], [5, 195]]","[[174, 26], [25, 175]]",0.8725,0.7450000000000001,
