model,fold,positive_buffer_m,negative_buffer_m,train_positive_count,valid_positive_count,train_sample_count,valid_sample_count,train_label_histogram,valid_label_histogram,train_confusion,valid_confusion,valid_accuracy,valid_kappa,valid_metrics
Hybrid-basic,0,60,300,226,31,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[191, 9], [4, 196]]","[[162, 38], [35, 165]]",0.8175,0.635,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 165, ""true_negative"": 162, ""false_positive"": 38, ""false_negative"": 35, ""accuracy"": 0.8175, ""precision"": 0.812807881773399, ""recall"": 0.825, ""sensitivity"": 0.825, ""specificity"": 0.81, ""f1"": 0.8188585607940446, ""balanced_accuracy"": 0.8175, ""negative_predictive_value"": 0.8223350253807107, ""false_positive_rate"": 0.18999999999999995, ""false_negative_rate"": 0.17500000000000004, ""roc_auc"": 0.8877, ""pr_auc"": 0.8595410769393087, ""average_precision"": 0.8595410769393087}"
Hybrid-basic,1,60,300,191,66,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[193, 7], [7, 193]]","[[149, 51], [56, 144]]",0.7325,0.4650000000000001,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 144, ""true_negative"": 149, ""false_positive"": 51, ""false_negative"": 56, ""accuracy"": 0.7325, ""precision"": 0.7384615384615385, ""recall"": 0.72, ""sensitivity"": 0.72, ""specificity"": 0.745, ""f1"": 0.7291139240506329, ""balanced_accuracy"": 0.7324999999999999, ""negative_predictive_value"": 0.7268292682926829, ""false_positive_rate"": 0.255, ""false_negative_rate"": 0.28, ""roc_auc"": 0.782275, ""pr_auc"": 0.7337957942513417, ""average_precision"": 0.7337957942513417}"
Hybrid-basic,2,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[192, 8], [11, 189]]","[[150, 50], [25, 175]]",0.8125,0.625,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 175, ""true_negative"": 150, ""false_positive"": 50, ""false_negative"": 25, ""accuracy"": 0.8125, ""precision"": 0.7777777777777778, ""recall"": 0.875, ""sensitivity"": 0.875, ""specificity"": 0.75, ""f1"": 0.823529411764706, ""balanced_accuracy"": 0.8125, ""negative_predictive_value"": 0.8571428571428571, ""false_positive_rate"": 0.25, ""false_negative_rate"": 0.125, ""roc_auc"": 0.859325, ""pr_auc"": 0.8040883702844828, ""average_precision"": 0.8040883702844828}"
Hybrid-basic,3,60,300,197,60,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[192, 8], [7, 193]]","[[161, 39], [56, 144]]",0.7625,0.5249999999999999,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 144, ""true_negative"": 161, ""false_positive"": 39, ""false_negative"": 56, ""accuracy"": 0.7625, ""precision"": 0.7868852459016393, ""recall"": 0.72, ""sensitivity"": 0.72, ""specificity"": 0.805, ""f1"": 0.7519582245430809, ""balanced_accuracy"": 0.7625, ""negative_predictive_value"": 0.7419354838709677, ""false_positive_rate"": 0.19499999999999995, ""false_negative_rate"": 0.28, ""roc_auc"": 0.81655, ""pr_auc"": 0.7903744626005789, ""average_precision"": 0.7903744626005789}"
Hybrid-basic,4,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[192, 8], [5, 195]]","[[146, 54], [41, 159]]",0.7625,0.5249999999999999,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 159, ""true_negative"": 146, ""false_positive"": 54, ""false_negative"": 41, ""accuracy"": 0.7625, ""precision"": 0.7464788732394366, ""recall"": 0.795, ""sensitivity"": 0.795, ""specificity"": 0.73, ""f1"": 0.7699757869249395, ""balanced_accuracy"": 0.7625, ""negative_predictive_value"": 0.7807486631016043, ""false_positive_rate"": 0.27, ""false_negative_rate"": 0.20499999999999996, ""roc_auc"": 0.860375, ""pr_auc"": 0.8311314802933567, ""average_precision"": 0.8311314802933567}"
Hybrid-plus-drainage-gu-stats,0,60,300,226,31,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[190, 10], [4, 196]]","[[157, 43], [16, 184]]",0.8525,0.7050000000000001,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 184, ""true_negative"": 157, ""false_positive"": 43, ""false_negative"": 16, ""accuracy"": 0.8525, ""precision"": 0.8105726872246696, ""recall"": 0.92, ""sensitivity"": 0.92, ""specificity"": 0.785, ""f1"": 0.8618266978922717, ""balanced_accuracy"": 0.8525, ""negative_predictive_value"": 0.9075144508670521, ""false_positive_rate"": 0.21499999999999997, ""false_negative_rate"": 0.07999999999999996, ""roc_auc"": 0.92765, ""pr_auc"": 0.9173428958065527, ""average_precision"": 0.9173428958065527}"
Hybrid-plus-drainage-gu-stats,1,60,300,191,66,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[194, 6], [7, 193]]","[[169, 31], [49, 151]]",0.8,0.6000000000000001,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 151, ""true_negative"": 169, ""false_positive"": 31, ""false_negative"": 49, ""accuracy"": 0.8, ""precision"": 0.8296703296703297, ""recall"": 0.755, ""sensitivity"": 0.755, ""specificity"": 0.845, ""f1"": 0.7905759162303665, ""balanced_accuracy"": 0.8, ""negative_predictive_value"": 0.7752293577981652, ""false_positive_rate"": 0.15500000000000003, ""false_negative_rate"": 0.245, ""roc_auc"": 0.866625, ""pr_auc"": 0.8680325141023916, ""average_precision"": 0.8680325141023916}"
Hybrid-plus-drainage-gu-stats,2,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[191, 9], [7, 193]]","[[179, 21], [40, 160]]",0.8475,0.6950000000000001,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 160, ""true_negative"": 179, ""false_positive"": 21, ""false_negative"": 40, ""accuracy"": 0.8475, ""precision"": 0.8839779005524862, ""recall"": 0.8, ""sensitivity"": 0.8, ""specificity"": 0.895, ""f1"": 0.8398950131233596, ""balanced_accuracy"": 0.8475, ""negative_predictive_value"": 0.817351598173516, ""false_positive_rate"": 0.10499999999999998, ""false_negative_rate"": 0.19999999999999996, ""roc_auc"": 0.936375, ""pr_auc"": 0.92609394118379, ""average_precision"": 0.92609394118379}"
Hybrid-plus-drainage-gu-stats,3,60,300,197,60,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[195, 5], [4, 196]]","[[165, 35], [48, 152]]",0.7925,0.585,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 152, ""true_negative"": 165, ""false_positive"": 35, ""false_negative"": 48, ""accuracy"": 0.7925, ""precision"": 0.8128342245989305, ""recall"": 0.76, ""sensitivity"": 0.76, ""specificity"": 0.825, ""f1"": 0.785529715762274, ""balanced_accuracy"": 0.7925, ""negative_predictive_value"": 0.7746478873239436, ""false_positive_rate"": 0.17500000000000004, ""false_negative_rate"": 0.24, ""roc_auc"": 0.86515, ""pr_auc"": 0.847523991835201, ""average_precision"": 0.847523991835201}"
Hybrid-plus-drainage-gu-stats,4,60,300,207,50,400,400,"{""0"": 200, ""1"": 200}","{""0"": 200, ""1"": 200}","[[196, 4], [5, 195]]","[[174, 26], [25, 175]]",0.8725,0.7450000000000001,"{""threshold"": 0.5, ""sample_count"": 400, ""positive_count"": 200, ""negative_count"": 200, ""true_positive"": 175, ""true_negative"": 174, ""false_positive"": 26, ""false_negative"": 25, ""accuracy"": 0.8725, ""precision"": 0.8706467661691543, ""recall"": 0.875, ""sensitivity"": 0.875, ""specificity"": 0.87, ""f1"": 0.8728179551122195, ""balanced_accuracy"": 0.8725, ""negative_predictive_value"": 0.8743718592964824, ""false_positive_rate"": 0.13, ""false_negative_rate"": 0.125, ""roc_auc"": 0.9485, ""pr_auc"": 0.9366425337109284, ""average_precision"": 0.9366425337109284}"
